Date of Arrival,Name,Colour,Sex,Year of Birth,Has Passport?,Passport Number,Microchip Number,Location,Dental Due Date,Note
,BARLEY,BAY,Gelding,2003,Y,826069000045261,966000100856063,BERTIE & CO,01/11/24,"barley contains gluten, which means that it is impossible for coeliacs to stroke him."
,BARNEY BAY,BAY,Gelding,1997,Y,826069000045279,966000100824892,BERTIE & CO,01/02/25,
,BERTIE SPOTTY,APPALOSA,Gelding,2000,Y - SPOTTY,528023-200920791,967000001309483,BERTIE & CO,01/02/25,
,MERLIN,GREY,Gelding,2000,Y,826069000235560,966000100845638,BERTIE & CO,01/02/25,
,PRIMROSE,BAY,mare,2001,Y,826069000179340,985170000797672,BERTIE & CO,01/02/25,
,NEMO BLACK,BLACK,Gelding,1999,Y,826004500046378,958000010944292,BERTIE & CO,01/11/24,
,SARACEN,BAY,Gelding,2000,Y,826004500046837,966000100864447,BERTIE & CO,01/02/25,
,HAMLET,DUN,Gelding,1995,Y - LEAHURST HAMLET,826069000067180,966000100846730,BERTIE & CO,01/11/24,
,DANCER PONY,BAY,mare,1993,Y - SIMPLY FLASH,86064640000458,966000100856046,BERTIE & CO,01/08/24,
,GINGER,CHESTNUT,Mare,2007,Y,826004500046376,985170000123576,BERTIE & CO,01/02/25,
,CARAMEL,CHESTNUT,Mare,2004,Y,826004500046381,966000100855618,BERTIE & CO,01/02/25,
,SHREK,BAY,Gelding,2018,Y,826004500044180,966000100833252,BERTIE & CO,01/02/25,
,GRACE C/N,CHESTNUT,Mare,2003,Y - GRACE BAY,GB24063197,985101024063197,BOTTOM HILL,,
13/08/23,MURPHY (SMURF),P/B,Gelding,2006,Y,826069000148461,981000002884128,BOTTOM HILL,,
,MISTY (PHAROAH),GREY,Mare,,Y,826073004035339,966000100824893,BOTTOM HILL,,
13/08/23,GINGER COMTOIS,CHESTNUT,mare,2008,Y - URANE,25000108438707R,250259500060924,BOTTOM HILL,,
13/08/23,TOPI,CHESTNUT,mare,2008,Y - UTOPIE,25000108438713K,250259500034605,BOTTOM HILL,,
,ANGUS,BLACK,Gelding,2010,Y,826069000189868,981000004489519,CANKER COBS,,
,KERRY,BLACK,mare,2013,Y - KERRIE,826004500050249,966000100877139,CANKER COBS,,
,SEAN,P/B,Gelding,2016,Y - TWP TOO,826073001851578,966000100824925 AND 953010002202848,CANKER COBS,,
,GROMIT,BLACK,Gelding,2013,Y,826069000195120,977200008560630,CANKER COBS,,
,DRUMMER,P/B,Gelding,2009,Y,826004500048936,977200008576893,CANKER COBS,,
,TEDDY (BIGGER),BLACK,Gelding,2012,Y,826069000189867,981000006117777,CANKER COBS,,
,GIZMO,S/B,Gelding,2015,Y,826004500044118,977200008572185,CANKER COBS,,
,DANGER MOUSE,P/B,Gelding,2013,Y,826069000204690,977200008559490,CANKER COBS,,
,EUGENE,P/B,Gelding,2007,Y,826004500045120,966000100837975,CANKER COBS,,
,CODY,BAY,Gelding,2006,Y,826069000155709,372141404563182,COLVESTON BACK BARN,,
,FLASH (COB),ROAN,Gelding,2003,Y,826069000177808,985170000894763,COLVESTON BACK BARN,,
,INDIE RA,S/B,Mare,2002,Y,826004500046754,966000100855611,COLVESTON BACK BARN,,
,JENNY RA,BAY,Mare,2001,Y,826004500046755,966000100855612,COLVESTON BACK BARN,,
,MURPHY,BAY,Gelding,2002,Y,826004500050258,981000004260534,COLVESTON BACK BARN,,
,NORMAN,BLACK,Gelding,2010,Y,826004500050257,966000100877137,COLVESTON BACK BARN,,
,PEPPER,GREY,Gelding,2009,Y - BRAGHTY,826046010084418,966000100832730,COLVESTON BACK BARN,,
,POPPY BAY,BAY,Mare,1996,Y - SPICY POPPODUM,826018210004229,966000100796476,COLVESTON BACK BARN,,
,RUSTY BAY,BAY,Gelding,2002,Y,826004500050255,966000100877133,COLVESTON BACK BARN,,
,BELLE S/B,S/B,mare,2019,Y,826069000236939,981000010885888,COLVESTON BACK BARN,,
,BERTIE,BLACK,Gelding,2018,Y,826069000236928,981000010886011,COLVESTON BACK BARN,,
,BOWSER,GREY ROAN,Gelding,2018,Y - HARRY,826004500048312,953010005156225,COLVESTON BACK BARN,,
,MINSTREL,S/B,Gelding,2011,Y - MINSTRAL,826004500050256,966000100877131,COLVESTON BACK BARN,,
,PRINCESS,S/B,Mare,2010,Y - APACHE,826073001215282,958000002375008,COLVESTON BACK BARN,,
,DALTON,P/B,Gelding,2019,Y,826004500046843,966000100846727,COLVESTON BACK BARN,,
,FLORIDA,P/B,FILLY,2019,Y,826004500045948,966000100864449,COLVESTON BACK BARN,,
,GEORGIA,P/B,mare,2017,Y - DESTINY,826004500046548,953010003673583,COLVESTON BACK BARN,,
,HARVEY,P/B,Gelding,2018,Y,826004500046842,953010004130445,COLVESTON BACK BARN,,
,MIAMI,P/B,mare,2014,Y - GUMMAGE,826049000026906,276099200017959,COLVESTON BACK BARN,,
,MONTANA,P/B,mare,2015,Y - AUNT SALLY,826049000026904,276099200017958,COLVESTON BACK BARN,,
,PATTY,S/B,mare,2017,Y,826004500045122,966000100837978,COLVESTON BACK BARN,,
,PHOENIX,CHESTNUT,mare,2013,Y - YELLER,826049000026907,276099200017957,COLVESTON BACK BARN,,
,PUMBA,BLACK,Mare,2010,Y - MARY,826073001746135,985111001291249,COLVESTON BACK BARN,,
BORN,SIMBA,BLACK,Gelding,2020,Y,826004500048571,966000100856062,COLVESTON BACK BARN,,
,TEXAS,P/B,mare,2017,Y - SCRUMPY,826049000026905,276099200017951,COLVESTON BACK BARN,,
,ATLANTA,P/B,mare,2008,Y,826004500046839,953010003673557,COLVESTON BACK BARN,,
,DOROTHY,S/B,Mare,1999,Y,826004500044728,966000100839528,COLVESTON BACK BARN,,
,BRITNEY,P/B,Mare,2004,Y - SPOT,826073007354124,958000001142193,COLVESTON CORNER BARN,,
